文件名: ./emb_a25b50.npy, TC = 0.3381, TD = 1.0000
文件名: ./emb_a50b55.npy, TC = 0.5881, TD = 0.6870
文件名: ./emb_a90b50.npy, TC = 0.5758, TD = 0.6625
文件名: ./emb_a35b15.npy, TC = 0.5933, TD = 0.6826
文件名: ./emb_a85b35.npy, TC = 0.4352, TD = 0.7000
文件名: ./emb_a20b70.npy, TC = 0.5707, TD = 0.6550
文件名: ./emb_a75b25.npy, TC = 0.5071, TD = 0.6667
文件名: ./emb_a90b80.npy, TC = 0.5852, TD = 0.6864
文件名: ./emb_a10b85.npy, TC = 0.5268, TD = 0.5808
文件名: ./emb_a95b20.npy, TC = 0.5678, TD = 0.6800
文件名: ./emb_a5b20.npy, TC = 0.3694, TD = 1.0000
文件名: ./emb_a20b60.npy, TC = 0.3380, TD = 1.0000
文件名: ./emb_a50b10.npy, TC = 0.5847, TD = 0.7000
文件名: ./emb_a35b5.npy, TC = 0.5981, TD = 0.6800
文件名: ./emb_a25b90.npy, TC = 0.5243, TD = 0.5619
文件名: ./emb_a40b70.npy, TC = 0.3370, TD = 1.0000
文件名: ./emb_a90b70.npy, TC = 0.5774, TD = 0.6522
文件名: ./emb_a10b15.npy, TC = 0.3697, TD = 1.0000
文件名: ./emb_a80b50.npy, TC = 0.5872, TD = 0.6846
文件名: ./emb_a50b45.npy, TC = 0.5912, TD = 0.6833
文件名: ./emb_a10b20.npy, TC = 0.4369, TD = 0.7000
文件名: ./emb_a30b10.npy, TC = 0.5776, TD = 0.6789
文件名: ./emb_a35b55.npy, TC = 0.5992, TD = 0.7087
文件名: ./emb_a75b95.npy, TC = 0.5721, TD = 0.6920
文件名: ./emb_a95b30.npy, TC = 0.5836, TD = 0.6625
文件名: ./emb_a10b30.npy, TC = 0.4379, TD = 0.7000
文件名: ./emb_a35b75.npy, TC = 0.3367, TD = 1.0000
文件名: ./emb_a50b5.npy, TC = 0.5770, TD = 0.7036
文件名: ./emb_a35b80.npy, TC = 0.5851, TD = 0.6640
