文件名: ./emb_a35b25.npy, TC = 0.5772, TD = 0.6800
文件名: ./emb_a60b30.npy, TC = 0.5673, TD = 0.6520
文件名: ./emb_a50b40.npy, TC = 0.5656, TD = 0.6792
文件名: ./emb_a30b30.npy, TC = 0.5857, TD = 0.6917
文件名: ./emb_a90b15.npy, TC = 0.5697, TD = 0.6708
文件名: ./emb_a60b65.npy, TC = 0.5726, TD = 0.6435
文件名: ./emb_a70b90.npy, TC = 0.5765, TD = 0.7000
文件名: ./emb_a80b95.npy, TC = 0.5812, TD = 0.6917
文件名: ./emb_a45b75.npy, TC = 0.5898, TD = 0.6821
文件名: ./emb_a40b35.npy, TC = 0.5766, TD = 0.6739
文件名: ./emb_a20b40.npy, TC = 0.5736, TD = 0.6955
文件名: ./emb_a65b60.npy, TC = 0.5662, TD = 0.6667
文件名: ./emb_a10b25.npy, TC = 0.5351, TD = 0.7333
文件名: ./emb_a85b70.npy, TC = 0.5746, TD = 0.6920
文件名: ./emb_a20b25.npy, TC = 0.5915, TD = 0.6905
文件名: ./emb_a80b65.npy, TC = 0.5701, TD = 0.6818
文件名: ./emb_a55b55.npy, TC = 0.5658, TD = 0.6680
文件名: ./emb_a15b35.npy, TC = 0.5324, TD = 0.7333
文件名: ./emb_a70b40.npy, TC = 0.5693, TD = 0.6720
文件名: ./emb_a85b50.npy, TC = 0.5736, TD = 0.6615
文件名: ./emb_a85b75.npy, TC = 0.5888, TD = 0.6889
文件名: ./emb_a85b30.npy, TC = 0.5710, TD = 0.6600
文件名: ./emb_a30b5.npy, TC = 0.5630, TD = 0.6958
文件名: ./emb_a25b50.npy, TC = 0.5668, TD = 0.7000
文件名: ./emb_a50b55.npy, TC = 0.5635, TD = 0.6652
文件名: ./emb_a90b50.npy, TC = 0.5790, TD = 0.6667
文件名: ./emb_a35b15.npy, TC = 0.5816, TD = 0.6852
文件名: ./emb_a85b35.npy, TC = 0.5746, TD = 0.6625
文件名: ./emb_a20b70.npy, TC = 0.5812, TD = 0.7182
文件名: ./emb_a75b25.npy, TC = 0.5820, TD = 0.6917
文件名: ./emb_a90b80.npy, TC = 0.5747, TD = 0.6708
文件名: ./emb_a10b85.npy, TC = 0.5263, TD = 0.5913
文件名: ./emb_a95b20.npy, TC = 0.5813, TD = 0.6870
文件名: ./emb_a5b20.npy, TC = 0.4992, TD = 0.5231
文件名: ./emb_a20b60.npy, TC = 0.5924, TD = 0.7273
文件名: ./emb_a50b10.npy, TC = 0.5717, TD = 0.6773
文件名: ./emb_a35b5.npy, TC = 0.5667, TD = 0.6583
文件名: ./emb_a25b90.npy, TC = 0.5812, TD = 0.6762
文件名: ./emb_a40b70.npy, TC = 0.5731, TD = 0.6680
文件名: ./emb_a90b70.npy, TC = 0.5967, TD = 0.6750
文件名: ./emb_a10b15.npy, TC = 0.4511, TD = 0.7000
文件名: ./emb_a80b50.npy, TC = 0.5805, TD = 0.6875
文件名: ./emb_a50b45.npy, TC = 0.5739, TD = 0.6808
文件名: ./emb_a10b20.npy, TC = 0.4507, TD = 0.7000
文件名: ./emb_a30b10.npy, TC = 0.5769, TD = 0.6625
文件名: ./emb_a35b55.npy, TC = 0.5727, TD = 0.7000
文件名: ./emb_a75b95.npy, TC = 0.5740, TD = 0.7120
文件名: ./emb_a95b30.npy, TC = 0.5848, TD = 0.6739
文件名: ./emb_a10b30.npy, TC = 0.4492, TD = 0.7000
文件名: ./emb_a35b75.npy, TC = 0.5803, TD = 0.6846
文件名: ./emb_a50b5.npy, TC = 0.5738, TD = 0.6792
文件名: ./emb_a35b80.npy, TC = 0.5723, TD = 0.7000
