文件名: ./emb_a40b70.npy, TC = 0.5868, TD = 0.6760
文件名: ./emb_a90b70.npy, TC = 0.5956, TD = 0.6875
文件名: ./emb_a10b15.npy, TC = 0.4773, TD = 0.6500
文件名: ./emb_a80b50.npy, TC = 0.5772, TD = 0.6917
文件名: ./emb_a50b45.npy, TC = 0.5811, TD = 0.6885
文件名: ./emb_a10b20.npy, TC = 0.4390, TD = 0.7000
文件名: ./emb_a30b10.npy, TC = 0.5811, TD = 0.6625
文件名: ./emb_a35b55.npy, TC = 0.5850, TD = 0.7000
文件名: ./emb_a75b95.npy, TC = 0.5775, TD = 0.7200
文件名: ./emb_a95b30.npy, TC = 0.5926, TD = 0.6870
文件名: ./emb_a10b30.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a35b75.npy, TC = 0.5836, TD = 0.6846
文件名: ./emb_a50b5.npy, TC = 0.5770, TD = 0.6833
文件名: ./emb_a35b80.npy, TC = 0.5865, TD = 0.7083
