文件名: ./emb_a90b70.npy, TC = 0.5825, TD = 0.6542
文件名: ./emb_a10b15.npy, TC = 0.4372, TD = 0.7000
文件名: ./emb_a80b50.npy, TC = 0.5830, TD = 0.6833
文件名: ./emb_a50b45.npy, TC = 0.5676, TD = 0.6846
文件名: ./emb_a10b20.npy, TC = 0.4361, TD = 0.7000
文件名: ./emb_a30b10.npy, TC = 0.5648, TD = 0.6625
文件名: ./emb_a35b55.npy, TC = 0.5771, TD = 0.6958
文件名: ./emb_a75b95.npy, TC = 0.5723, TD = 0.6880
文件名: ./emb_a95b30.npy, TC = 0.5834, TD = 0.6565
文件名: ./emb_a10b30.npy, TC = 0.4196, TD = 0.7000
文件名: ./emb_a35b75.npy, TC = 0.5692, TD = 0.6962
文件名: ./emb_a50b5.npy, TC = 0.5736, TD = 0.6917
文件名: ./emb_a35b80.npy, TC = 0.5787, TD = 0.7125
